iter	Passed	Remaining
0	133	133803
1	135	67537
2	136	45515
3	138	34492
4	139	27836
5	141	23375
6	142	20225
7	143	17824
8	144	15956
9	145	14444
10	146	13213
11	147	12184
12	149	11318
13	150	10568
14	151	9916
15	152	9348
16	153	8856
17	154	8408
18	155	8015
19	155	7643
20	156	7313
21	157	7015
22	158	6743
23	159	6486
24	160	6256
25	161	6043
26	162	5850
27	163	5679
28	164	5505
29	165	5341
30	166	5190
31	166	5045
32	167	4908
33	168	4783
34	169	4663
35	170	4554
36	170	4445
37	171	4344
38	172	4251
39	173	4159
40	173	4069
41	174	3983
42	175	3901
43	175	3821
44	176	3745
45	177	3674
46	177	3605
47	178	3539
48	179	3477
49	179	3418
50	180	3359
51	181	3303
52	181	3247
53	182	3195
54	183	3147
55	184	3102
56	184	3055
57	185	3009
58	185	2963
59	186	2919
60	186	2877
61	187	2836
62	188	2797
63	188	2758
64	189	2721
65	189	2685
66	190	2650
67	191	2619
68	191	2590
69	192	2560
70	193	2533
71	194	2504
72	195	2477
73	195	2448
74	196	2421
75	197	2395
76	197	2370
77	198	2345
78	199	2321
79	200	2300
80	200	2277
81	201	2255
82	201	2229
83	202	2208
84	203	2186
85	203	2166
86	204	2145
87	205	2127
88	205	2108
89	206	2089
90	207	2070
91	207	2052
92	208	2034
93	209	2016
94	209	1998
95	210	1981
96	210	1964
97	211	1947
98	212	1931
99	212	1915
100	213	1901
101	214	1886
102	214	1872
103	215	1858
104	216	1845
105	217	1831
106	217	1817
107	218	1803
108	218	1789
109	219	1775
110	220	1763
111	220	1750
112	221	1739
113	222	1727
114	222	1715
115	223	1702
116	224	1691
117	224	1679
118	225	1668
119	226	1657
120	226	1647
121	227	1635
122	228	1625
123	228	1615
124	229	1605
125	230	1595
126	230	1584
127	231	1574
128	231	1564
129	232	1555
130	233	1546
131	233	1537
132	234	1528
133	235	1519
134	235	1511
135	236	1503
136	237	1494
137	237	1485
138	238	1477
139	239	1468
140	239	1460
141	240	1451
142	240	1443
143	241	1434
144	241	1426
145	242	1419
146	243	1413
147	244	1405
148	244	1399
149	245	1392
150	246	1385
151	246	1377
152	247	1371
153	248	1364
154	249	1357
155	249	1351
156	250	1344
157	251	1338
158	251	1332
159	252	1326
160	252	1318
161	253	1311
162	254	1305
163	254	1299
164	255	1293
165	256	1286
166	256	1280
167	257	1275
168	258	1269
169	258	1264
170	259	1258
171	260	1253
172	261	1248
173	261	1242
174	262	1237
175	262	1231
176	263	1225
177	264	1219
178	264	1213
179	265	1208
180	265	1202
181	266	1198
182	267	1193
183	267	1188
184	268	1182
185	269	1177
186	269	1172
187	270	1168
188	271	1163
189	271	1158
190	272	1153
191	272	1148
192	273	1143
193	274	1138
194	274	1134
195	275	1129
196	275	1125
197	276	1120
198	277	1117
199	278	1112
200	278	1108
201	279	1104
202	280	1099
203	281	1096
204	281	1092
205	282	1088
206	283	1084
207	283	1080
208	284	1076
209	285	1072
210	285	1067
211	286	1063
212	286	1059
213	287	1055
214	288	1052
215	288	1048
216	289	1044
217	290	1041
218	290	1037
219	291	1033
220	292	1030
221	292	1026
222	293	1022
223	294	1019
224	295	1016
225	295	1013
226	296	1009
227	297	1005
228	297	1002
229	298	998
230	299	995
231	299	992
232	300	988
233	301	985
234	301	982
235	302	978
236	303	975
237	303	972
238	304	969
239	305	966
240	306	963
241	306	960
242	307	957
243	308	954
244	308	951
245	309	947
246	309	944
247	310	941
248	311	939
249	312	936
250	312	933
251	313	930
252	313	927
253	314	924
254	315	921
255	316	918
256	316	915
257	317	913
258	318	910
259	319	908
260	319	905
261	320	902
262	321	899
263	321	897
264	322	894
265	323	892
266	323	889
267	324	887
268	325	884
269	326	882
270	327	879
271	327	877
272	328	875
273	329	872
274	329	869
275	330	866
276	331	864
277	331	861
278	332	859
279	333	856
280	333	854
281	334	851
282	335	849
283	335	846
284	336	844
285	337	841
286	337	839
287	338	836
288	339	834
289	339	831
290	340	828
291	341	827
292	341	824
293	342	822
294	343	820
295	343	817
296	344	815
297	345	812
298	345	810
299	346	808
300	347	806
301	347	803
302	348	801
303	349	799
304	349	797
305	350	795
306	351	792
307	351	790
308	352	788
309	353	785
310	353	783
311	354	781
312	355	779
313	355	776
314	356	775
315	357	772
316	357	770
317	358	768
318	359	766
319	359	764
320	360	762
321	361	760
322	361	758
323	362	755
324	362	753
325	363	751
326	364	749
327	364	747
328	365	745
329	366	743
330	366	741
331	367	739
332	368	737
333	369	735
334	369	734
335	370	732
336	371	730
337	372	728
338	372	726
339	373	724
340	374	723
341	374	721
342	375	719
343	376	717
344	376	715
345	377	713
346	378	711
347	378	709
348	379	708
349	380	706
350	381	704
351	381	703
352	382	701
353	383	699
354	383	697
355	384	695
356	385	693
357	385	691
358	386	690
359	387	688
360	387	686
361	388	684
362	389	682
363	389	681
364	390	679
365	391	677
366	392	676
367	392	674
368	393	673
369	394	671
370	394	669
371	395	667
372	396	665
373	396	664
374	397	662
375	398	660
376	398	658
377	399	657
378	399	655
379	400	653
380	401	652
381	402	650
382	403	649
383	404	648
384	404	646
385	405	645
386	406	643
387	406	641
388	407	639
389	408	638
390	408	636
391	409	635
392	410	633
393	410	631
394	411	630
395	412	628
396	412	627
397	413	625
398	414	624
399	415	622
400	415	621
401	416	619
402	417	617
403	417	616
404	418	614
405	418	612
406	419	611
407	420	609
408	420	607
409	421	606
410	421	604
411	422	603
412	423	601
413	424	600
414	424	598
415	425	597
416	426	595
417	427	594
418	427	593
419	428	591
420	429	590
421	429	588
422	430	587
423	431	585
424	431	584
425	432	582
426	433	581
427	433	579
428	434	578
429	434	576
430	435	575
431	436	573
432	436	572
433	437	570
434	438	568
435	438	567
436	439	566
437	440	564
438	440	563
439	441	561
440	442	560
441	442	558
442	443	557
443	443	555
444	444	554
445	445	552
446	445	551
447	446	550
448	447	549
449	448	547
450	448	546
451	449	544
452	449	543
453	450	541
454	451	540
455	451	538
456	452	537
457	452	535
458	453	534
459	454	533
460	454	531
461	455	530
462	456	529
463	457	528
464	457	526
465	458	525
466	459	524
467	460	522
468	460	521
469	461	520
470	462	519
471	462	517
472	463	516
473	464	515
474	464	513
475	465	512
476	465	510
477	466	509
478	467	508
479	468	507
480	468	505
481	469	504
482	470	503
483	470	501
484	471	500
485	472	499
486	472	497
487	473	496
488	473	495
489	474	493
490	475	492
491	475	491
492	476	489
493	477	488
494	477	487
495	478	486
496	479	484
497	479	483
498	480	482
499	481	481
500	481	479
501	482	478
502	482	477
503	483	475
504	484	474
505	484	473
506	485	472
507	486	471
508	486	469
509	487	468
510	488	467
511	488	465
512	489	464
513	490	463
514	491	462
515	491	461
516	492	459
517	492	458
518	493	457
519	494	456
520	494	454
521	495	453
522	496	452
523	496	451
524	497	449
525	497	448
526	498	447
527	499	446
528	500	445
529	501	444
530	501	443
531	502	442
532	503	440
533	503	439
534	504	438
535	504	437
536	505	436
537	506	434
538	507	433
539	507	432
540	508	431
541	509	430
542	509	429
543	510	427
544	511	426
545	511	425
546	512	424
547	513	423
548	514	422
549	514	421
550	515	420
551	516	418
552	516	417
553	517	416
554	518	415
555	518	414
556	519	413
557	520	412
558	520	410
559	521	409
560	522	408
561	523	407
562	523	406
563	524	405
564	525	404
565	525	403
566	526	401
567	526	400
568	527	399
569	528	398
570	529	397
571	529	396
572	530	395
573	531	394
574	532	393
575	533	392
576	533	391
577	534	390
578	535	389
579	535	388
580	536	386
581	537	385
582	537	384
583	538	383
584	539	382
585	540	381
586	540	380
587	541	379
588	542	378
589	543	377
590	544	376
591	545	375
592	546	374
593	547	373
594	547	372
595	548	372
596	549	371
597	550	370
598	551	368
599	551	367
600	552	366
601	553	365
602	553	364
603	554	363
604	555	362
605	555	361
606	556	360
607	557	359
608	557	358
609	558	356
610	558	355
611	559	354
612	560	353
613	561	352
614	561	351
615	562	350
616	562	349
617	563	348
618	564	347
619	564	346
620	565	345
621	566	344
622	566	343
623	567	342
624	568	340
625	568	339
626	569	338
627	570	337
628	570	336
629	571	335
630	572	334
631	572	333
632	573	332
633	574	331
634	574	330
635	575	329
636	576	328
637	577	327
638	577	326
639	578	325
640	579	324
641	579	323
642	580	322
643	580	321
644	581	320
645	582	319
646	583	318
647	583	317
648	584	316
649	585	315
650	586	314
651	586	313
652	587	312
653	588	311
654	588	310
655	589	309
656	590	308
657	590	307
658	591	306
659	592	305
660	592	303
661	593	302
662	593	301
663	594	300
664	595	299
665	595	298
666	596	297
667	597	296
668	597	295
669	598	294
670	599	293
671	600	292
672	600	292
673	601	290
674	602	289
675	602	288
676	603	287
677	604	286
678	605	286
679	605	285
680	606	284
681	607	283
682	607	282
683	608	281
684	609	280
685	609	279
686	610	278
687	611	277
688	612	276
689	612	275
690	613	274
691	613	273
692	614	272
693	615	271
694	615	270
695	616	269
696	617	268
697	617	267
698	618	266
699	619	265
700	619	264
701	620	263
702	621	262
703	622	261
704	622	260
705	623	259
706	624	258
707	624	257
708	625	256
709	626	255
710	626	254
711	627	253
712	628	252
713	629	251
714	629	251
715	630	250
716	631	249
717	631	248
718	632	247
719	633	246
720	633	245
721	634	244
722	635	243
723	635	242
724	636	241
725	637	240
726	637	239
727	638	238
728	639	237
729	640	236
730	641	235
731	641	235
732	642	234
733	643	233
734	644	232
735	645	231
736	645	230
737	646	229
738	647	228
739	648	227
740	648	226
741	649	225
742	650	224
743	650	223
744	651	222
745	652	222
746	652	221
747	653	220
748	654	219
749	655	218
750	655	217
751	656	216
752	657	215
753	657	214
754	658	213
755	659	212
756	659	211
757	660	210
758	660	209
759	661	208
760	661	207
761	662	206
762	663	205
763	663	205
764	664	204
765	665	203
766	665	202
767	666	201
768	667	200
769	667	199
770	668	198
771	669	197
772	669	196
773	670	195
774	670	194
775	671	193
776	672	192
777	672	191
778	673	191
779	674	190
780	674	189
781	675	188
782	676	187
783	676	186
784	677	185
785	677	184
786	678	183
787	678	182
788	679	181
789	679	180
790	680	179
791	681	178
792	681	177
793	682	177
794	682	176
795	683	175
796	684	174
797	684	173
798	685	172
799	685	171
800	686	170
801	687	169
802	688	168
803	688	167
804	689	166
805	689	165
806	690	165
807	690	164
808	691	163
809	691	162
810	692	161
811	692	160
812	693	159
813	694	158
814	694	157
815	695	156
816	696	155
817	696	154
818	697	154
819	697	153
820	698	152
821	698	151
822	699	150
823	700	149
824	700	148
825	700	147
826	701	146
827	702	145
828	702	144
829	703	144
830	704	143
831	704	142
832	705	141
833	705	140
834	706	139
835	707	138
836	707	137
837	708	136
838	709	136
839	709	135
840	710	134
841	711	133
842	711	132
843	712	131
844	712	130
845	713	129
846	714	128
847	714	128
848	715	127
849	715	126
850	716	125
851	716	124
852	717	123
853	718	122
854	718	121
855	719	121
856	720	120
857	720	119
858	721	118
859	721	117
860	722	116
861	723	115
862	723	114
863	724	113
864	724	113
865	725	112
866	726	111
867	726	110
868	727	109
869	727	108
870	728	107
871	729	107
872	729	106
873	730	105
874	731	104
875	731	103
876	732	102
877	732	101
878	733	100
879	733	100
880	734	99
881	735	98
882	735	97
883	736	96
884	736	95
885	737	94
886	738	94
887	738	93
888	739	92
889	740	91
890	740	90
891	741	89
892	742	88
893	742	88
894	743	87
895	743	86
896	744	85
897	744	84
898	745	83
899	745	82
900	746	82
901	747	81
902	747	80
903	748	79
904	749	78
905	750	77
906	750	76
907	751	76
908	751	75
909	752	74
910	753	73
911	753	72
912	754	71
913	755	71
914	755	70
915	756	69
916	756	68
917	757	67
918	758	66
919	758	65
920	759	65
921	759	64
922	760	63
923	760	62
924	761	61
925	761	60
926	762	60
927	763	59
928	764	58
929	765	57
930	765	56
931	766	55
932	766	55
933	767	54
934	767	53
935	768	52
936	769	51
937	769	50
938	770	50
939	771	49
940	771	48
941	772	47
942	773	46
943	773	45
944	774	45
945	775	44
946	775	43
947	776	42
948	776	41
949	777	40
950	777	40
951	778	39
952	779	38
953	779	37
954	780	36
955	781	35
956	781	35
957	782	34
958	782	33
959	783	32
960	783	31
961	784	30
962	785	30
963	785	29
964	786	28
965	787	27
966	787	26
967	788	26
968	788	25
969	789	24
970	790	23
971	790	22
972	791	21
973	791	21
974	792	20
975	793	19
976	793	18
977	794	17
978	795	17
979	795	16
980	796	15
981	797	14
982	798	13
983	798	12
984	799	12
985	800	11
986	800	10
987	801	9
988	802	8
989	802	8
990	803	7
991	804	6
992	804	5
993	805	4
994	805	4
995	806	3
996	807	2
997	807	1
998	808	0
999	809	0
